puntos_historicos;fecha_afiliacion;uni;genero;nacimiento;hora_afiliacion;dia_afiliacion;puntos_gastados;shares_totales;categoria_dominante;recruitments;concursos_participados;premios_canjeados;tickets_canjeados;difference_last_and_first_share;difference_last_raffle_first_share;edad;shares_frequency;quality;quality_id;sistema_registro;densidad_videos;calidad_videos;densidad_concursos;densidad_videos_semanas_registro
7618;2013-06-27;NA;M;1989-08-05;21;Miercoles;0;22;CINE;0;0;0;0;470;-1;26;21.3636363636364;Lost;2;Normal sign in;Somewhat Low;Somewhat Low;Somewhat Low;Somewhat Low
0;2013-06-27;NA;NA;NA;21;Miercoles;0;0;NA;0;0;0;0;-1;-1;25;0;Not interested/Didn't get it;0;Recruited;Low;Somewhat Low;Low;Somewhat Low
39229;2013-06-27;NA;F;NA;23;Miercoles;31000;65;VIAJES;0;2;3;2;530;424;43;8.15384615384615;Lost;2;Recruited;Somewhat High;Low;Somewhat High;Somewhat High
3386;2013-06-27;NA;M;1987-08-20;14;Jueves;0;7;MISC;0;0;0;0;99;-1;28;14.1428571428571;Lost;2;Recruited;Somewhat High;Low;High;Low
70;2013-06-27;NA;NA;NA;15;Jueves;0;3;MISC;0;0;0;0;0;-1;23;0;Not captured;1;Physical campaign: flyers;Low;Regular;Low;Somewhat Low
1232;2013-06-27;NA;F;NA;15;Jueves;250;7;MISC;0;1;0;1;315;22;22;45;Lost;2;Recruited;High;Low;Regular;Low
0;2013-06-27;NA;NA;NA;15;Jueves;0;0;NA;0;0;0;0;-1;-1;24;0;Not interested/Didn't get it;0;Through video display;Regular;Low;Somewhat Low;Low
0;2013-06-27;NA;NA;NA;15;Jueves;0;1;MISC;0;0;0;0;0;-1;22;0;Not captured;1;Through video display;Low;Regular;Low;High
64;2013-06-27;NA;NA;NA;15;Jueves;0;1;MISC;0;0;0;0;0;-1;23;0;Not captured;1;Physical campaign: fair;Somewhat Low;Somewhat High;Low;High
0;2013-06-27;NA;NA;NA;15;Jueves;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Low;Somewhat Low;Low;Somewhat Low
256;2013-06-27;NA;NA;NA;15;Jueves;0;3;MISC;0;0;0;0;14;-1;22;4.66666666666667;Lost;2;Recruited;Low;Low;Somewhat Low;Somewhat High
12130;2013-06-27;NA;F;1986-06-28;15;Jueves;0;25;VIDEOJUEGOS;0;0;0;0;201;-1;29;8.04;Lost;2;Recruited;Somewhat High;Low;Low;Low
26110;2013-06-27;NA;NA;NA;16;Jueves;1200;20;MISC;0;3;0;9;489;378;22;24.45;Lost;2;Recruited;Low;Low;Low;Low
108;2013-06-27;NA;M;1988-01-26;16;Jueves;0;2;MISC;0;0;0;0;7;-1;28;3.5;Lost;2;Normal sign in;High;Low;Somewhat Low;Somewhat High
0;2013-06-27;NA;NA;NA;16;Jueves;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Somewhat Low;Regular;High;Somewhat High
0;2013-06-27;NA;NA;NA;16;Jueves;0;3;DEPORTES;0;0;0;0;6;-1;23;2;Lost;2;Recruited;Somewhat Low;Low;Somewhat High;Somewhat Low
64;2013-06-27;NA;NA;NA;16;Jueves;0;1;MISC;0;0;0;0;0;-1;25;0;Not captured;1;Through video display;Low;Low;Low;Somewhat Low
0;2013-06-27;NA;NA;NA;16;Jueves;0;2;MISC;0;0;0;0;154;-1;29;77;Lost;2;Recruited;High;Low;High;Somewhat High
0;2013-06-27;NA;NA;NA;17;Jueves;0;0;NA;0;0;0;0;-1;-1;22;0;Not interested/Didn't get it;0;Through video display;Regular;Somewhat High;Regular;High
1600;2013-06-27;NA;NA;NA;17;Jueves;0;7;MISC;0;0;0;0;16;-1;22;2.28571428571429;Lost;2;Recruited;High;Low;High;Somewhat High
0;2013-06-27;NA;NA;NA;17;Jueves;0;1;MISC;0;0;0;0;0;-1;20;0;Not captured;1;Facebook campaign;Low;Somewhat Low;Low;Somewhat Low
0;2013-06-27;NA;NA;NA;18;Jueves;0;0;NA;0;0;0;0;-1;-1;21;0;Not interested/Didn't get it;0;Recruited;High;Low;Somewhat Low;Regular
15246;2013-06-27;Pontificia Universidad Cat;M;1989-04-08;19;Jueves;15200;18;DEPORTES;0;1;1;13;148;34;26;8.22222222222222;Lost;2;Recruited;High;Low;Somewhat High;High
64;2013-06-27;NA;NA;NA;19;Jueves;0;1;MISC;0;0;0;0;0;-1;31;0;Not captured;1;Physical campaign: fair;Somewhat High;Somewhat Low;Somewhat Low;Low
480;2013-06-27;NA;NA;NA;20;Jueves;0;2;MISC;0;0;0;0;6;-1;20;3;Lost;2;Recruited;Regular;Low;Low;High
128;2013-06-27;NA;NA;NA;20;Jueves;0;1;MISC;0;0;0;0;0;-1;23;0;Not captured;1;Recruited;Somewhat Low;Somewhat Low;Regular;Somewhat High
